order_id,user_id,checkout_version,items_in_cart,items_list,upsell_clicked,order_value,date_of_purchase
79e0bb30-4d4b-49fc-bf9b-b7fd4a4d9815,da90a410-7172-4c29-bd50-40199842d49e,B,3,"IU Car Decal, IU Sports Equipment Bag, Women's Volleyball Jersey",0,123,2024-05-11
c7592248-a643-4323-bd19-37ddab7de9e3,ebdac31e-5040-4cd0-a570-693965811b97,B,3,"Infant Hoodie, Adidas IU Hoodie, Men's Basketball Jersey",0,155,2024-11-02
8b9988f8-f95d-4200-99ad-09973f6a90ed,71676660-126d-4389-99ef-1f7a05e87e28,B,2,"Women's T-Shirt, Infant Hoodie",0,58,2024-11-18
e5fc9907-79c7-423a-b4ad-01d62ee32a2f,9c36cfdd-99fb-4cbd-b076-e00b05575e26,B,6,"Women's Volleyball Jersey, IU Golf Cap, IU Beanie, Adidas Track Pants, IU Pet Collar, Youth Football T-Shirt",1,218,2023-11-26
f3dc0747-57b9-4a0c-a8e1-0e75c502c84b,0dd3b971-1564-4621-8a80-f3c7484f9a25,B,4,"IU Wall Art Poster, IU Socks, IU Water Bottle, Adidas T-Shirt",0,95,2023-01-02
ccccc9f0-a3fc-49f6-b948-cb8a07e9b2d1,3d866756-b4ea-4813-be1b-5822bf536097,B,3,"Infant Hoodie, IU Blanket, IU Golf Cap",1,98,2023-08-19
780ed640-e4a4-46db-88d4-bb19c78756d1,38a69475-bef4-4101-a5b7-3439cde9d899,B,5,"IU Golf Cap, Adidas Track Pants, IU Car Decal, Adidas Track Pants, Adidas T-Shirt",0,186,2023-07-06
008beea0-01c9-4b3c-be1f-a19ffe6d0524,ba78e069-7bad-491a-a169-960dfdc4f0b1,B,4,"IU Pet Collar, IU Sports Equipment Bag, Women's T-Shirt, IU Sports Equipment Bag",1,133,2023-10-04
78306760-9f61-44f5-84cc-2f62d7c36944,df8ae931-b3ca-4e16-9481-dd310502c977,A,3,"Youth Sweatshirt, IU Water Bottle, IU Wall Art Poster",0,88,2024-11-01
aaa8e64a-be58-4cf9-9ea0-5fca38a978be,cb52e7e1-4568-430a-81d8-405ce8aeb3cc,B,6,"Adidas IU Hoodie, Adidas IU Hoodie, IU Socks, IU Duffel Bag, IU Pet Collar, IU Umbrella",1,207,2024-01-07
2ab7cc30-ede6-40f5-ac74-9c398d81e094,d9e641a3-7c00-462e-81b1-37ef3308cba5,A,1,IU Sports Equipment Bag,0,45,2024-04-22
e6a3579d-a174-4cf9-9e4c-3678f62d9e17,55f81382-01d4-4850-a298-a63faeabb372,A,5,"Men's Basketball Jersey, Infant Hoodie, IU Sports Equipment Bag, Adidas Track Pants, IU Drinkware Cup",0,225,2023-12-27
ec5dabe4-e263-49db-8c06-9b907daae14c,54512bdb-6795-4d83-b7f8-09da7aa4ff88,A,4,"Women's Volleyball Jersey, Women's T-Shirt, Infant Hoodie, IU Keychain",0,138,2023-04-01
ecc6ae58-2baa-4098-93e2-6600834a3009,0aabf3a5-7bd9-4ca5-864b-6a7f15b9bd58,B,2,"IU Sports Equipment Bag, IU Wall Art Poster",0,80,2024-03-17
f511708d-eefc-489d-baed-88a37253a02e,31ad479c-f4f3-48f2-92a9-a1e703d97a6b,A,2,"Women's T-Shirt, IU Baseball Cap",0,50,2023-11-23
93ea6c9d-6c8a-4c31-b009-3cbbe99a82ff,7cda632d-c256-443e-8602-05645f87bf0f,B,2,"IU Pet Collar, IU Sports Equipment Bag",1,60,2024-07-01
0d18678e-a7e6-4fe9-8332-cf0f14ae0256,dd001039-10be-429a-be40-d753b70acd28,B,2,"Men's Jersey, IU Golf Cap",0,93,2024-11-19
60142798-fcb3-41f5-9491-5e9cd794360b,ada382cc-0516-4b5f-ab20-55da334cf2ed,B,6,"Women's Volleyball Jersey, Infant Hoodie, IU Keychain, Adidas Track Pants, IU Duffel Bag, IU Duffel Bag",1,280,2024-05-16
59f028f3-e01e-411e-a82a-e10ab47226c9,ed8e6c2e-4d60-4d45-bbbe-dc0efe37bc1e,B,4,"IU Duffel Bag, IU Drinkware Cup, IU Beanie, Adidas IU Hoodie",0,140,2023-06-13
76d0c8e0-ea47-4409-acdc-39bf153e9e05,5a6b783b-e2ee-44c0-bc3c-70449321f7bc,B,4,"IU Keychain, IU Baseball Cap, IU Baseball Cap, Infant Hoodie",1,84,2023-03-08
d34e0cdf-ebe1-4b95-82f8-37c2b6c4ebf2,eca6772b-42ca-4aa6-aaad-5913cb6870b9,B,5,"IU Water Bottle, IU Keychain, IU Pet Collar, Infant Hoodie, IU Pet Collar",1,88,2023-08-03
58291e30-b1fa-4a55-8395-f4497e59c5ad,22d4cadf-2732-410a-9c0d-76c3317adde0,B,3,"IU Car Decal, Youth Sweatshirt, Adidas IU Hoodie",1,93,2024-06-16
33fbd0eb-1380-40cd-8fbb-5e9982d0093c,380e66b5-2b18-4b2f-ac5e-b863ac159436,B,3,"IU Golf Cap, Men's Jersey, IU Blanket",0,133,2023-08-11
21cf1f85-cc0b-4a3a-ae61-1119664be960,779b3ba1-1d1c-4527-b9e3-eceae101f26c,A,1,IU Umbrella,0,25,2024-11-19
61700d1c-3bc7-4f80-9693-92d3bb3c7f9a,74d24344-1cfa-45a1-aa48-991f82511a39,A,1,Adidas Track Pants,0,60,2024-09-16
19aab779-8dc9-45a5-9630-0ed0054818ea,8d81cb86-17db-4479-b7dd-842bd6bc8a75,A,5,"IU Beanie, IU Car Decal, IU Golf Cap, IU Umbrella, Adidas T-Shirt",0,111,2023-08-25
6c493d4e-b835-4afd-bcc1-b7879f44441c,940b81a1-6e6c-43cd-abc0-6dfaac7b4053,B,4,"Adidas Track Pants, IU Baseball Cap, Adidas T-Shirt, Adidas Track Pants",0,172,2023-02-03
bbc3ccaf-1ee8-466c-aa80-4ee7a4bed602,043ede8a-3b02-4dfa-aed6-83b30998d163,A,4,"IU Wall Art Poster, Youth Sweatshirt, IU Keychain, Women's T-Shirt",0,108,2023-09-17
28be66b6-c614-42f7-a72f-623186a8cf09,ddbbe431-3b25-4248-ad63-d3c278257f2e,A,1,Adidas T-Shirt,0,30,2023-05-22
a42b7eb6-4828-4e37-9235-b5968bf6c0c3,0b93c8eb-e6d1-48aa-91c7-bdf43ab2ddfd,B,5,"IU Blanket, IU Duffel Bag, IU Wall Art Poster, Women's T-Shirt, IU Duffel Bag",1,213,2023-05-20
abc3173b-cd76-4b44-9c7d-e22f39aea3db,e603000c-2f21-4edf-b7bf-6853a7cf7cf6,A,4,"IU Sports Equipment Bag, IU Duffel Bag, Men's Basketball Jersey, IU Blanket",0,215,2023-09-15
e557be3f-c8bf-4636-802c-f9db9b100c69,df8ae931-b3ca-4e16-9481-dd310502c977,A,5,"Men's Jersey, IU Beanie, IU Blanket, IU Golf Cap, Adidas Track Pants",0,213,2023-07-31
473f49c3-453e-46a7-ab18-bf2f9718f4c9,dd001039-10be-429a-be40-d753b70acd28,B,1,Adidas Track Pants,0,60,2023-12-13
22c643e7-d9d1-472f-8dd6-0985573cc949,acf0d05a-2c7a-4e50-b2aa-ff6334cd9804,A,5,"IU Drinkware Cup, IU Water Bottle, IU Socks, IU Duffel Bag, IU Car Decal",0,108,2023-01-09
0e54f782-58ce-4d91-9551-7f2e37c4c930,93b86071-fe73-4518-a06c-92c0a61504e9,B,4,"Youth Football T-Shirt, IU Car Decal, Youth Football T-Shirt, IU Beanie",0,78,2023-03-15
eb8b195e-1d3e-4f21-9b0c-4a92d3beea10,f9863404-5e0e-4e8b-9f28-9167edd9617f,A,1,IU Keychain,0,10,2024-09-23
aabd4d89-5012-4f36-876f-0fce8c543d5f,04539505-cdc8-4048-af2f-6e120fc1c629,A,4,"Adidas T-Shirt, IU Sports Equipment Bag, Infant Hoodie, Adidas Track Pants",0,165,2024-03-30
5424b2ac-bf03-441a-a976-f47e82d7779a,0986d34e-45ed-4c48-88c8-cbe1b5962d15,B,5,"IU Car Decal, Adidas T-Shirt, Women's T-Shirt, IU Blanket, IU Sports Equipment Bag",0,151,2023-05-02
3956d8be-7518-4c2e-b551-e879afad4cd6,fa375cd6-07a8-459f-a5c2-a543cbb6f02e,A,3,"IU Keychain, Youth Football T-Shirt, IU Socks",0,47,2024-03-05
afd7f60d-ec61-492b-9b9f-246e23585a1f,332d2a66-57ac-4e4b-b1be-924fb9829318,A,3,"IU Keychain, Infant Hoodie, Men's Basketball Jersey",0,115,2024-01-10
557346f4-3879-4636-83aa-2bad6f27ec02,a7ab0bca-ff57-44a4-bd2f-887c0f0e6752,A,3,"IU Wall Art Poster, IU Duffel Bag, Men's Basketball Jersey",0,165,2023-03-08
814a8e64-f4e7-4c38-ba8e-72fc5d5a3add,ec192cf8-9048-4e0c-b31d-d485211c9417,A,3,"Men's Jersey, Men's Basketball Jersey, IU Duffel Bag",0,195,2023-02-24
37cfcf33-72f2-4da6-a180-9a2b9d1a504f,7aba3561-3868-48a5-afc6-b9dce54a8001,B,2,"Adidas IU Hoodie, Adidas IU Hoodie",1,100,2024-10-18
4d189ff2-7705-42ff-951c-1ec4e13ba8b8,8d81cb86-17db-4479-b7dd-842bd6bc8a75,B,1,IU Blanket,0,40,2024-04-24
635951c8-e8a1-48a4-b788-919fc63b8fcd,dcb20984-8b53-4d04-a40b-eaf088249132,A,5,"IU Duffel Bag, Men's Jersey, IU Beanie, Adidas T-Shirt, Women's Volleyball Jersey",0,240,2023-01-18
ee860b17-b6b1-4cf0-9982-d10cfd0522cd,c8898f44-1b08-4915-8c14-90e275346ea5,B,5,"IU Umbrella, IU Blanket, Adidas Track Pants, IU Umbrella, Men's Jersey",0,215,2023-10-11
48a9e343-7d9c-4a3d-a477-197e1573995b,f1f047f2-e44d-45c9-9856-16a32e6c0bde,B,1,IU Beanie,0,20,2024-11-26
71eec8c1-b14f-40e5-8ba3-88686974ae9c,25cb7854-356d-4a6c-9deb-aaec92b71ffb,A,2,"Women's Volleyball Jersey, IU Water Bottle",0,88,2023-12-21
6afbd851-f0a9-4ab4-a844-784d076bb04a,a7231a38-9212-4590-93d9-8ad713087029,B,2,"Infant Hoodie, Women's T-Shirt",1,58,2023-02-04
50e25277-236b-4aab-88a6-53318bdb0850,705f7b06-4ebd-45f9-914b-57cc3dfa7546,A,4,"IU Wall Art Poster, Infant Hoodie, Adidas Track Pants, Men's Basketball Jersey",0,200,2024-08-14
3ae10721-ac1b-421a-9c36-e7b5e4a120ba,6134d579-28cc-4618-96b5-81ee2a91dad3,B,2,"Youth Sweatshirt, IU Sports Equipment Bag",0,80,2023-11-04
50f1ea33-3d4e-49fb-b577-0113183de68c,1dbded93-1435-4dc0-a1aa-aa2b122bb5af,A,5,"IU Wall Art Poster, Men's Basketball Jersey, IU Drinkware Cup, IU Water Bottle, Adidas Track Pants",0,203,2023-11-26
57c36aab-23c9-4bd5-aab7-8915ef8a417a,b9a1e68c-356a-41cb-9b50-f452f97628ed,B,1,IU Socks,0,12,2024-09-18
837e37d2-7889-44f2-aef2-318d308a2420,06bb8030-6f35-4dbc-b03b-75e2e5dbf97c,A,2,"IU Golf Cap, IU Beanie",0,48,2023-10-17
b1afcd80-c012-45c7-8e72-f7a7a99ca86f,e8ffea34-85b0-4512-a534-1c679ee757e1,B,2,"Women's Volleyball Jersey, IU Umbrella",0,95,2023-05-22
bec9ba56-d04f-4bd4-8b23-d32593a55027,8244691a-5ec2-45d3-a344-c9ee927e8b76,B,1,IU Keychain,0,10,2023-02-17
2b3480b4-43a0-4879-a31e-d21e0c4f296c,6c1eb256-8634-43ae-8724-ea2116a7f97b,A,5,"Youth Sweatshirt, Adidas T-Shirt, Infant Hoodie, Adidas IU Hoodie, IU Water Bottle",0,163,2024-01-31
30a6c2cf-b7fb-4044-ac57-5e6cb64c1abf,22d4cadf-2732-410a-9c0d-76c3317adde0,B,4,"Women's Volleyball Jersey, Youth Football T-Shirt, IU Car Decal, IU Blanket",0,143,2024-02-25
30997c20-0454-44f6-9052-8b43e90ab112,09539e98-da1c-4216-9f7a-b9e5f7880efa,B,4,"Men's Jersey, IU Baseball Cap, Men's Basketball Jersey, Men's Jersey",1,227,2023-10-16
7315de53-61e4-4908-8b4f-3d580f1b492b,85939169-9794-4858-b83c-c645f486d20e,B,4,"IU Keychain, IU Car Decal, IU Beanie, IU Socks",1,50,2023-03-26
b2e443f5-93bb-4053-9682-66b048355798,a3951cc3-7c67-4347-b1c9-a1ee23f78691,A,4,"IU Baseball Cap, Youth Football T-Shirt, IU Pet Collar, Women's Volleyball Jersey",0,132,2024-02-22
553ac6d7-3dbd-4542-895e-a51104fd9932,465d355f-4bf5-4b0b-a3d3-dfbaa8e0a013,A,2,"IU Drinkware Cup, Adidas Track Pants",0,75,2023-08-29
7387db61-5bc5-4841-89be-8e98c5afb9ae,5e2fe0ac-3bec-4bfa-9298-9c05404db568,A,3,"Adidas T-Shirt, IU Wall Art Poster, IU Duffel Bag",0,120,2023-12-07
dec0140f-1ea3-4e8b-82f2-805e09f4d320,7cda632d-c256-443e-8602-05645f87bf0f,B,5,"IU Socks, Youth Football T-Shirt, Women's T-Shirt, Youth Sweatshirt, IU Car Decal",1,108,2023-06-01
63bc3f2b-f323-4c51-9ad5-03b09086658e,145b2aff-d225-4a3c-a519-11fab395b31e,B,2,"IU Keychain, IU Water Bottle",0,28,2023-01-18
f46bd21e-09f0-421e-adaa-5308c34e321f,0b79740c-baa3-4e6e-ac9d-bf500d6f404d,A,1,IU Golf Cap,0,28,2024-11-16
107cf6a9-3fce-4f7e-aa38-9b7f063db1ba,7f8a4be9-befd-42a9-aec8-3d5043c71a12,B,4,"IU Socks, IU Beanie, Men's Basketball Jersey, IU Beanie",0,127,2023-01-31
ce7a10f6-796f-472f-82c9-6f9489d887e0,29e34727-2a89-4855-89f8-8dfc50b3fd05,B,5,"Youth Football T-Shirt, IU Keychain, Adidas IU Hoodie, IU Baseball Cap, IU Blanket",0,147,2023-07-28
8fd91b14-8abf-4952-b12b-69170d8adc22,1de19066-6d53-466b-a306-9725141db512,A,3,"IU Beanie, IU Blanket, Adidas Track Pants",0,120,2024-12-24
22bb98f8-9042-4e44-8e03-cf1e913b5d34,afaeb4d6-77ea-4098-94d9-337747ac989f,A,3,"Infant Hoodie, Youth Sweatshirt, Women's T-Shirt",0,93,2024-04-18
92760c9a-ef34-4e20-a2c1-ef0a76b6cf88,74d24344-1cfa-45a1-aa48-991f82511a39,B,5,"Men's Basketball Jersey, Infant Hoodie, IU Duffel Bag, Youth Sweatshirt, Youth Sweatshirt",0,230,2024-07-31
28b6d203-08a9-4d99-b2b0-e0ec23a6b6c2,cb52e7e1-4568-430a-81d8-405ce8aeb3cc,A,4,"Men's Jersey, IU Sports Equipment Bag, IU Beanie, IU Baseball Cap",0,152,2024-10-05
8994b5bc-c28f-4643-815f-adf2e61f0027,3de9334f-981d-4725-bb14-1881bf03088b,B,5,"Adidas T-Shirt, Infant Hoodie, Adidas Track Pants, IU Sports Equipment Bag, Women's T-Shirt",0,193,2024-10-25
a7f2dc69-883e-40af-b65b-d5d1a2838277,c19496d0-d6f2-4167-aeb0-e7b853d8942c,B,4,"Adidas Track Pants, IU Pet Collar, Youth Sweatshirt, IU Pet Collar",0,125,2023-08-31
ba2afb69-7837-44b9-b138-6584d76637a6,2cd7c6ad-fdea-4431-937f-c876bd7c3ee4,B,5,"Youth Football T-Shirt, IU Golf Cap, Men's Jersey, Youth Football T-Shirt, Adidas IU Hoodie",0,193,2023-03-11
2dc7d144-c17b-4d42-85ca-dbc44446b496,cd381761-589c-41a2-aa48-ff8936718f02,A,3,"IU Car Decal, Youth Football T-Shirt, Women's T-Shirt",0,61,2024-12-23
295ab321-5acf-4c51-bfa0-f0228d67e350,40f65d7f-0a53-4d3b-9434-67a4f4e74957,B,3,"IU Umbrella, IU Keychain, Youth Sweatshirt",0,70,2023-06-16
